deviceVendor,deviceProduct,deviceVersion,signatureId,severity,name,start,rt,msg,shost,smac,dhost,dmac,suser,suid,externalId,cs1Label,cs1
Microsoft,Windows Server 2008,1.0,Microsoft-Windows-Security-Auditing:4755,5,A security-enabled universal group was changed.,2022-09-26T03:12:12.300000Z,1664161932.3,A security-enabled universal group was changed.,WIN-VX6OEP24HNQ,58:A8:39:d4:cc:1c,msymonne-pc,00:E0:4C:e0:b4:17,MSymonne,,4755,payload,
Microsoft,Windows Server 2008,1.0,Microsoft-Windows-Security-Auditing:5442,3,The following provider was present when the Windows Filtering Platform Base Filtering Engine started.,2022-09-26T03:12:54.385000Z,1664161974.385,The following provider was present when the Windows Filtering Platform Base Filtering Engine started.,amaveryck02-pc,00:E0:4C:ea:76:b8,w2014r2006-srv,3C:6A:A7:cd:b8:2e,AMaveryck,,5442,payload,
Microsoft,Windows Vista,1.0,Microsoft-Windows-Security-Auditing:4647,3,User initiated logoff.,2022-09-26T03:13:36.470000Z,1664162016.47,This event is generated when a logoff is initiated but the token reference count is not zero and the logon session cannot be destroyed.  No further user-initiated activity can occur. This event can be interpreted as a logoff event.,mheavin-mac,00:AA:02:ef:ac:04,w2012r2006-srv,00:1E:67:23:c0:d1,MHeavin,547FDD9,4647,payload,
Microsoft,Windows Vista,1.0,Microsoft-Windows-Security-Auditing:4634,3,An account was logged off.,2022-09-26T03:13:37.470000Z,1664162017.47,This event is generated when a logon session is destroyed. It may be positively correlated with a logon event using the Logon ID value. Logon IDs are only unique between reboots on the same computer.,mheavin-mac,00:AA:02:ef:ac:04,w2012r2006-srv,00:1E:67:23:c0:d1,MHeavin,547FDD9,4634,payload,
Microsoft,Windows Vista,1.0,Microsoft-Windows-Security-Auditing:4624,3,An account was successfully logged on.,2022-09-26T03:13:38.470000Z,1664162018.47,This event is generated when a logon session is created. It is generated on the computer that was accessed. The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service - or a local process such as Winlogon.exe or Services.exe. The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network). The New Logon fields indicate the account for whom the new logon was created - i.e. the account that was logged on. The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases. The impersonation level field indicates the extent to which a process in the logon session can impersonate. The authentication information fields provide detailed information about this specific logon request. - Logon GUID is a unique identifier that can be used to correlate this event with a KDC event. - Transited services indicate which intermediate services have participated in this logon request. - Package name indicates which sub-protocol was used among the NTLM protocols. - Key length indicates the length of the generated session key. This will be 0 if no session key was requested.,FEDORA-EFMKK161,F4:06:69:21:f2:fa,w2012r2006-srv,00:1E:67:23:c0:d1,FEDORA-EFMKK161$,5A5C9E2,4624,payload,
Microsoft,Windows Server 2008,1.0,Microsoft-Windows-Security-Auditing:4624,3,An account was successfully logged on.,2022-09-26T03:13:39.470000Z,1664162019.47,This event is generated when a logon session is created. It is generated on the computer that was accessed. The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service - or a local process such as Winlogon.exe or Services.exe. The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network). The New Logon fields indicate the account for whom the new logon was created - i.e. the account that was logged on. The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases. The impersonation level field indicates the extent to which a process in the logon session can impersonate. The authentication information fields provide detailed information about this specific logon request. - Logon GUID is a unique identifier that can be used to correlate this event with a KDC event. - Transited services indicate which intermediate services have participated in this logon request. - Package name indicates which sub-protocol was used among the NTLM protocols. - Key length indicates the length of the generated session key. This will be 0 if no session key was requested.,FEDORA-EFMKK161,F4:06:69:21:f2:fa,w2012r2006-srv,00:1E:67:23:c0:d1,MHeavin,5A5C9E2,4624,payload,
Microsoft,Windows Server 2008,1.0,Microsoft-Windows-Security-Auditing:4624,3,An account was successfully logged on.,2022-09-26T03:14:18.555000Z,1664162058.555,This event is generated when a logon session is created. It is generated on the computer that was accessed. The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service - or a local process such as Winlogon.exe or Services.exe. The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network). The New Logon fields indicate the account for whom the new logon was created - i.e. the account that was logged on. The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases. The impersonation level field indicates the extent to which a process in the logon session can impersonate. The authentication information fields provide detailed information about this specific logon request. - Logon GUID is a unique identifier that can be used to correlate this event with a KDC event. - Transited services indicate which intermediate services have participated in this logon request. - Package name indicates which sub-protocol was used among the NTLM protocols. - Key length indicates the length of the generated session key. This will be 0 if no session key was requested.,UBUNTU-TXJMR64HOC,A8:6D:AA:69:3b:1c,mheavin04-pc,00:E0:4C:a1:95:14,UBUNTU-TXJMR64HOC$,9FE1C0F,4624,payload,
Microsoft,Windows Vista,1.0,Microsoft-Windows-Security-Auditing:4624,3,An account was successfully logged on.,2022-09-26T03:14:19.555000Z,1664162059.555,This event is generated when a logon session is created. It is generated on the computer that was accessed. The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service - or a local process such as Winlogon.exe or Services.exe. The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network). The New Logon fields indicate the account for whom the new logon was created - i.e. the account that was logged on. The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases. The impersonation level field indicates the extent to which a process in the logon session can impersonate. The authentication information fields provide detailed information about this specific logon request. - Logon GUID is a unique identifier that can be used to correlate this event with a KDC event. - Transited services indicate which intermediate services have participated in this logon request. - Package name indicates which sub-protocol was used among the NTLM protocols. - Key length indicates the length of the generated session key. This will be 0 if no session key was requested.,UBUNTU-TXJMR64HOC,A8:6D:AA:69:3b:1c,mheavin04-pc,00:E0:4C:a1:95:14,MHeavin,9FE1C0F,4624,payload,
Microsoft,Windows Server 2008,1.0,Microsoft-Windows-Security-Auditing:4624,3,An account was successfully logged on.,2022-09-26T03:15:00.640000Z,1664162100.64,This event is generated when a logon session is created. It is generated on the computer that was accessed. The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service - or a local process such as Winlogon.exe or Services.exe. The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network). The New Logon fields indicate the account for whom the new logon was created - i.e. the account that was logged on. The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases. The impersonation level field indicates the extent to which a process in the logon session can impersonate. The authentication information fields provide detailed information about this specific logon request. - Logon GUID is a unique identifier that can be used to correlate this event with a KDC event. - Transited services indicate which intermediate services have participated in this logon request. - Package name indicates which sub-protocol was used among the NTLM protocols. - Key length indicates the length of the generated session key. This will be 0 if no session key was requested.,smartice-pc,98:3B:8F:9b:6b:27,smartice-pc,98:3B:8F:9b:6b:27,smartice-pc$,3C92D90,4624,payload,
Microsoft,Windows Vista,1.0,Microsoft-Windows-Security-Auditing:4624,3,An account was successfully logged on.,2022-09-26T03:15:01.640000Z,1664162101.64,This event is generated when a logon session is created. It is generated on the computer that was accessed. The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service - or a local process such as Winlogon.exe or Services.exe. The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network). The New Logon fields indicate the account for whom the new logon was created - i.e. the account that was logged on. The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases. The impersonation level field indicates the extent to which a process in the logon session can impersonate. The authentication information fields provide detailed information about this specific logon request. - Logon GUID is a unique identifier that can be used to correlate this event with a KDC event. - Transited services indicate which intermediate services have participated in this logon request. - Package name indicates which sub-protocol was used among the NTLM protocols. - Key length indicates the length of the generated session key. This will be 0 if no session key was requested.,smartice-pc,98:3B:8F:9b:6b:27,smartice-pc,98:3B:8F:9b:6b:27,SMartice,3C92D90,4624,payload,
Microsoft,Windows Vista,1.0,Microsoft-Windows-Security-Auditing:4624,3,An account was successfully logged on.,2022-09-26T03:15:42.725000Z,1664162142.725,This event is generated when a logon session is created. It is generated on the computer that was accessed. The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service - or a local process such as Winlogon.exe or Services.exe. The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network). The New Logon fields indicate the account for whom the new logon was created - i.e. the account that was logged on. The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases. The impersonation level field indicates the extent to which a process in the logon session can impersonate. The authentication information fields provide detailed information about this specific logon request. - Logon GUID is a unique identifier that can be used to correlate this event with a KDC event. - Transited services indicate which intermediate services have participated in this logon request. - Package name indicates which sub-protocol was used among the NTLM protocols. - Key length indicates the length of the generated session key. This will be 0 if no session key was requested.,terbie-pc,00:0E:35:58:6d:5f,terbie07-pc,00:E0:4C:fd:e6:d0,terbie-pc$,D43EDD1,4624,payload,
Microsoft,Windows Server 2008,1.0,Microsoft-Windows-Security-Auditing:4624,3,An account was successfully logged on.,2022-09-26T03:15:43.725000Z,1664162143.725,This event is generated when a logon session is created. It is generated on the computer that was accessed. The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service - or a local process such as Winlogon.exe or Services.exe. The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network). The New Logon fields indicate the account for whom the new logon was created - i.e. the account that was logged on. The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases. The impersonation level field indicates the extent to which a process in the logon session can impersonate. The authentication information fields provide detailed information about this specific logon request. - Logon GUID is a unique identifier that can be used to correlate this event with a KDC event. - Transited services indicate which intermediate services have participated in this logon request. - Package name indicates which sub-protocol was used among the NTLM protocols. - Key length indicates the length of the generated session key. This will be 0 if no session key was requested.,terbie-pc,00:0E:35:58:6d:5f,terbie07-pc,00:E0:4C:fd:e6:d0,TErbie,D43EDD1,4624,payload,
Microsoft,Windows Server 2008,1.0,Microsoft-Windows-Security-Auditing:4624,3,An account was successfully logged on.,2022-09-26T03:16:24.810000Z,1664162184.81,This event is generated when a logon session is created. It is generated on the computer that was accessed. The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service - or a local process such as Winlogon.exe or Services.exe. The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network). The New Logon fields indicate the account for whom the new logon was created - i.e. the account that was logged on. The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases. The impersonation level field indicates the extent to which a process in the logon session can impersonate. The authentication information fields provide detailed information about this specific logon request. - Logon GUID is a unique identifier that can be used to correlate this event with a KDC event. - Transited services indicate which intermediate services have participated in this logon request. - Package name indicates which sub-protocol was used among the NTLM protocols. - Key length indicates the length of the generated session key. This will be 0 if no session key was requested.,FEDORA-8QKXR34CK8,00:E1:8C:a7:41:ac,bzylah07-pc,00:E0:4C:93:d6:0c,FEDORA-8QKXR34CK8$,FB23817,4624,payload,
Microsoft,Windows Server 2008,1.0,Microsoft-Windows-Security-Auditing:4624,3,An account was successfully logged on.,2022-09-26T03:16:25.810000Z,1664162185.81,This event is generated when a logon session is created. It is generated on the computer that was accessed. The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service - or a local process such as Winlogon.exe or Services.exe. The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network). The New Logon fields indicate the account for whom the new logon was created - i.e. the account that was logged on. The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases. The impersonation level field indicates the extent to which a process in the logon session can impersonate. The authentication information fields provide detailed information about this specific logon request. - Logon GUID is a unique identifier that can be used to correlate this event with a KDC event. - Transited services indicate which intermediate services have participated in this logon request. - Package name indicates which sub-protocol was used among the NTLM protocols. - Key length indicates the length of the generated session key. This will be 0 if no session key was requested.,FEDORA-8QKXR34CK8,00:E1:8C:a7:41:ac,bzylah07-pc,00:E0:4C:93:d6:0c,BZylah,FB23817,4624,payload,
Microsoft,Windows Server 2008,1.0,Microsoft-Windows-Security-Auditing:4624,3,An account was successfully logged on.,2022-09-26T03:17:06.895000Z,1664162226.895,This event is generated when a logon session is created. It is generated on the computer that was accessed. The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service - or a local process such as Winlogon.exe or Services.exe. The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network). The New Logon fields indicate the account for whom the new logon was created - i.e. the account that was logged on. The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases. The impersonation level field indicates the extent to which a process in the logon session can impersonate. The authentication information fields provide detailed information about this specific logon request. - Logon GUID is a unique identifier that can be used to correlate this event with a KDC event. - Transited services indicate which intermediate services have participated in this logon request. - Package name indicates which sub-protocol was used among the NTLM protocols. - Key length indicates the length of the generated session key. This will be 0 if no session key was requested.,nedroy-pc,88:78:73:ef:44:41,nedroy02-pc,74:D8:3E:65:35:76,nedroy-pc$,567EE9C,4624,payload,
Microsoft,Windows Vista,1.0,Microsoft-Windows-Security-Auditing:4624,3,An account was successfully logged on.,2022-09-26T03:17:07.895000Z,1664162227.895,This event is generated when a logon session is created. It is generated on the computer that was accessed. The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service - or a local process such as Winlogon.exe or Services.exe. The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network). The New Logon fields indicate the account for whom the new logon was created - i.e. the account that was logged on. The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases. The impersonation level field indicates the extent to which a process in the logon session can impersonate. The authentication information fields provide detailed information about this specific logon request. - Logon GUID is a unique identifier that can be used to correlate this event with a KDC event. - Transited services indicate which intermediate services have participated in this logon request. - Package name indicates which sub-protocol was used among the NTLM protocols. - Key length indicates the length of the generated session key. This will be 0 if no session key was requested.,nedroy-pc,88:78:73:ef:44:41,nedroy02-pc,74:D8:3E:65:35:76,NEdroy,567EE9C,4624,payload,
Microsoft,Windows Server 2008,1.0,Microsoft-Windows-Security-Auditing:4675,5,SIDs were filtered.,2022-09-26T03:17:48.980000Z,1664162268.98,SIDs were filtered.,emargarat-pc,CC:D9:AC:ce:2f:86,emargarat-pc,CC:D9:AC:ce:2f:86,EMargarat,,4675,payload,
Microsoft,Windows Vista,1.0,Microsoft-Windows-Security-Auditing:4789,3,A basic application group was deleted.,2022-09-26T03:18:31.065000Z,1664162311.065,A basic application group was deleted.,jifeoluwa03-pc,38:00:25:6f:0d:48,jifeoluwa03-pc,38:00:25:6f:0d:48,JIfeoluwa,,4789,payload,
Microsoft,Windows Server 2012,1.0,Microsoft-Windows-Security-Auditing:4797,3,An attempt was made to query the existence of a blank password for an account.,2022-09-26T03:19:13.150000Z,1664162353.15,An attempt was made to query the existence of a blank password for an account.,hmikaeel-mac,7C:76:35:70:48:a1,hmikaeel-pc,00:1B:21:32:8d:9c,HMikaeel,,4797,payload,
Microsoft,Windows Server 2008,1.0,Microsoft-Windows-Security-Auditing:4753,3,A security-disabled global group was deleted.,2022-09-26T03:19:55.235000Z,1664162395.235,A security-disabled global group was deleted.,MARVIN-7JTDT7OP0SZ,F4:06:69:9a:e6:66,w2019r2007-srv,FC:F8:AE:80:25:ad,DLaurelee,,4753,payload,
Microsoft,Windows Server 2008,1.0,Microsoft-Windows-Security-Auditing:5153,3,A more restrictive Windows Filtering Platform filter has blocked a packet.,2022-09-26T03:20:37.320000Z,1664162437.32,A more restrictive Windows Filtering Platform filter has blocked a packet.,RHEL-HAWHLYFMKQ9,00:E0:4C:6f:a1:c8,w2019r2003-srv,64:32:A8:23:70:8d,SValgeir,,5153,payload,
Microsoft,Windows Server 2008,1.0,Microsoft-Windows-Security-Auditing:4624,3,An account was successfully logged on.,2022-09-26T03:21:19.405000Z,1664162479.405,This event is generated when a logon session is created. It is generated on the computer that was accessed. The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service - or a local process such as Winlogon.exe or Services.exe. The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network). The New Logon fields indicate the account for whom the new logon was created - i.e. the account that was logged on. The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases. The impersonation level field indicates the extent to which a process in the logon session can impersonate. The authentication information fields provide detailed information about this specific logon request. - Logon GUID is a unique identifier that can be used to correlate this event with a KDC event. - Transited services indicate which intermediate services have participated in this logon request. - Package name indicates which sub-protocol was used among the NTLM protocols. - Key length indicates the length of the generated session key. This will be 0 if no session key was requested.,ACER-4DKYXZW6L5,00:E1:8C:93:93:b1,kparidhi-pc,CC:2F:71:28:82:79,ACER-4DKYXZW6L5$,7128C91,4624,payload,
Microsoft,Windows Server 2008,1.0,Microsoft-Windows-Security-Auditing:4624,3,An account was successfully logged on.,2022-09-26T03:21:20.405000Z,1664162480.405,This event is generated when a logon session is created. It is generated on the computer that was accessed. The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service - or a local process such as Winlogon.exe or Services.exe. The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network). The New Logon fields indicate the account for whom the new logon was created - i.e. the account that was logged on. The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases. The impersonation level field indicates the extent to which a process in the logon session can impersonate. The authentication information fields provide detailed information about this specific logon request. - Logon GUID is a unique identifier that can be used to correlate this event with a KDC event. - Transited services indicate which intermediate services have participated in this logon request. - Package name indicates which sub-protocol was used among the NTLM protocols. - Key length indicates the length of the generated session key. This will be 0 if no session key was requested.,ACER-4DKYXZW6L5,00:E1:8C:93:93:b1,kparidhi-pc,CC:2F:71:28:82:79,KParidhi,7128C91,4624,payload,
Microsoft,Windows Vista,1.0,Microsoft-Windows-Security-Auditing:4624,3,An account was successfully logged on.,2022-09-26T03:22:01.490000Z,1664162521.49,This event is generated when a logon session is created. It is generated on the computer that was accessed. The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service - or a local process such as Winlogon.exe or Services.exe. The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network). The New Logon fields indicate the account for whom the new logon was created - i.e. the account that was logged on. The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases. The impersonation level field indicates the extent to which a process in the logon session can impersonate. The authentication information fields provide detailed information about this specific logon request. - Logon GUID is a unique identifier that can be used to correlate this event with a KDC event. - Transited services indicate which intermediate services have participated in this logon request. - Package name indicates which sub-protocol was used among the NTLM protocols. - Key length indicates the length of the generated session key. This will be 0 if no session key was requested.,ACER-JAZ2PXMO,58:94:6B:41:2e:5f,edaisymilana-pc,7C:5C:F8:a1:92:92,ACER-JAZ2PXMO$,C379D40,4624,payload,
Microsoft,Windows Vista,1.0,Microsoft-Windows-Security-Auditing:4624,3,An account was successfully logged on.,2022-09-26T03:22:02.490000Z,1664162522.49,This event is generated when a logon session is created. It is generated on the computer that was accessed. The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service - or a local process such as Winlogon.exe or Services.exe. The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network). The New Logon fields indicate the account for whom the new logon was created - i.e. the account that was logged on. The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases. The impersonation level field indicates the extent to which a process in the logon session can impersonate. The authentication information fields provide detailed information about this specific logon request. - Logon GUID is a unique identifier that can be used to correlate this event with a KDC event. - Transited services indicate which intermediate services have participated in this logon request. - Package name indicates which sub-protocol was used among the NTLM protocols. - Key length indicates the length of the generated session key. This will be 0 if no session key was requested.,ACER-JAZ2PXMO,58:94:6B:41:2e:5f,edaisymilana-pc,7C:5C:F8:a1:92:92,EDaisymilana,C379D40,4624,payload,
Microsoft,Windows Server 2008,1.0,Microsoft-Windows-Security-Auditing:4692,5,Backup of data protection master key was attempted.,2022-09-26T03:22:43.575000Z,1664162563.575,Backup of data protection master key was attempted.,SUSE-L6QN9CFPK7N,00:E0:4C:21:6f:c9,ljenavi-pc,00:11:75:a3:17:f3,LJenavi,,4692,payload,
Microsoft,Windows Vista,1.0,Microsoft-Windows-Security-Auditing:4647,3,User initiated logoff.,2022-09-26T03:23:25.660000Z,1664162605.66,This event is generated when a logoff is initiated but the token reference count is not zero and the logon session cannot be destroyed.  No further user-initiated activity can occur. This event can be interpreted as a logoff event.,nedroy-pc,88:78:73:ef:44:41,nedroy02-pc,74:D8:3E:65:35:76,NEdroy,567EE9C,4647,payload,
Microsoft,Windows Server 2008,1.0,Microsoft-Windows-Security-Auditing:4634,3,An account was logged off.,2022-09-26T03:23:26.660000Z,1664162606.66,This event is generated when a logon session is destroyed. It may be positively correlated with a logon event using the Logon ID value. Logon IDs are only unique between reboots on the same computer.,nedroy-pc,88:78:73:ef:44:41,nedroy02-pc,74:D8:3E:65:35:76,NEdroy,567EE9C,4634,payload,
Microsoft,Windows Vista,1.0,Microsoft-Windows-Security-Auditing:4624,3,An account was successfully logged on.,2022-09-26T03:23:27.660000Z,1664162607.66,This event is generated when a logon session is created. It is generated on the computer that was accessed. The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service - or a local process such as Winlogon.exe or Services.exe. The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network). The New Logon fields indicate the account for whom the new logon was created - i.e. the account that was logged on. The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases. The impersonation level field indicates the extent to which a process in the logon session can impersonate. The authentication information fields provide detailed information about this specific logon request. - Logon GUID is a unique identifier that can be used to correlate this event with a KDC event. - Transited services indicate which intermediate services have participated in this logon request. - Package name indicates which sub-protocol was used among the NTLM protocols. - Key length indicates the length of the generated session key. This will be 0 if no session key was requested.,RHEL-HL7PQRS4Y,7C:CC:B8:54:8f:39,nedroy02-pc,74:D8:3E:65:35:76,RHEL-HL7PQRS4Y$,AF4008D,4624,payload,
Microsoft,Windows Server 2008,1.0,Microsoft-Windows-Security-Auditing:4624,3,An account was successfully logged on.,2022-09-26T03:23:28.660000Z,1664162608.66,This event is generated when a logon session is created. It is generated on the computer that was accessed. The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service - or a local process such as Winlogon.exe or Services.exe. The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network). The New Logon fields indicate the account for whom the new logon was created - i.e. the account that was logged on. The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases. The impersonation level field indicates the extent to which a process in the logon session can impersonate. The authentication information fields provide detailed information about this specific logon request. - Logon GUID is a unique identifier that can be used to correlate this event with a KDC event. - Transited services indicate which intermediate services have participated in this logon request. - Package name indicates which sub-protocol was used among the NTLM protocols. - Key length indicates the length of the generated session key. This will be 0 if no session key was requested.,RHEL-HL7PQRS4Y,7C:CC:B8:54:8f:39,nedroy02-pc,74:D8:3E:65:35:76,NEdroy,AF4008D,4624,payload,
